Matrix_size,Operation_type,Operation_time
235,BLAS_multiplication,0.010000
235,BLAS_multiplication,0.000000
235,BLAS_multiplication,0.010000
235,BLAS_multiplication,0.000000
235,BLAS_multiplication,0.010000
235,BLAS_multiplication,0.000000
235,BLAS_multiplication,0.000000
235,BLAS_multiplication,0.000000
310,BLAS_multiplication,0.020000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.020000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.010000
310,BLAS_multiplication,0.010000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
385,BLAS_multiplication,0.020000
460,BLAS_multiplication,0.030000
460,BLAS_multiplication,0.040000
460,BLAS_multiplication,0.040000
460,BLAS_multiplication,0.030000
460,BLAS_multiplication,0.040000
460,BLAS_multiplication,0.030000
460,BLAS_multiplication,0.030000
460,BLAS_multiplication,0.040000
460,BLAS_multiplication,0.040000
460,BLAS_multiplication,0.030000
535,BLAS_multiplication,0.050000
535,BLAS_multiplication,0.060000
535,BLAS_multiplication,0.050000
535,BLAS_multiplication,0.050000
535,BLAS_multiplication,0.060000
535,BLAS_multiplication,0.060000
535,BLAS_multiplication,0.050000
535,BLAS_multiplication,0.050000
535,BLAS_multiplication,0.060000
535,BLAS_multiplication,0.050000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
610,BLAS_multiplication,0.080000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.120000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
685,BLAS_multiplication,0.110000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.150000
760,BLAS_multiplication,0.160000
760,BLAS_multiplication,0.160000
835,BLAS_multiplication,0.190000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
835,BLAS_multiplication,0.200000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.250000
910,BLAS_multiplication,0.250000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.260000
910,BLAS_multiplication,0.260000
985,BLAS_multiplication,0.320000
985,BLAS_multiplication,0.330000
985,BLAS_multiplication,0.330000
985,BLAS_multiplication,0.330000
985,BLAS_multiplication,0.320000
985,BLAS_multiplication,0.320000
985,BLAS_multiplication,0.330000
985,BLAS_multiplication,0.330000
985,BLAS_multiplication,0.330000
985,BLAS_multiplication,0.320000
